OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000027,
       ref        average:,0.000000031,
       cpu          kbest:,0.006381187,
       cpu        average:,0.006383252,
    getpid          kbest:,0.000000348,
    getpid        average:,0.000000356,
context siwtch          kbest:,0.000006353,
context siwtch        average:,0.000006506,
      send          kbest:,0.000000441,
      send        average:,0.000000835,
      recv          kbest:,0.000000354,
      recv        average:,0.000000665,
  big send          kbest:,0.000000477,
  big send        average:,0.000000881,
  big recv          kbest:,0.000000652,
  big recv        average:,0.000000681,
      fork          kbest:,0.000149601,
      fork       average:,0.000162220,
      fork    Child kbest:,0.000203014,
      fork Child average:,0.000215628,
thr create          kbest:,0.000011529,
thr create       average:,0.000017792,
thr create    Child kbest:,0.000016581,
thr create Child average:,0.000024310,
  big fork          kbest:,0.002011125,
  big fork       average:,0.002999761,
  big fork    Child kbest:,0.002107704,
  big fork Child average:,0.003085938,
 huge fork          kbest:,0.004059511,
 huge fork       average:,0.005714448,
 huge fork    Child kbest:,0.004133027,
 huge fork Child average:,0.005808372,
small write          kbest:,0.000001314,
small write        average:,0.000001357,
small read          kbest:,0.000000717,
small read        average:,0.000000759,
small mmap          kbest:,0.000000729,
small mmap        average:,0.000000832,
small munmap          kbest:,0.000001288,
small munmap        average:,0.000001420,
small page fault          kbest:,0.000001166,
small page fault        average:,0.000001203,
 mid write          kbest:,0.000008885,
 mid write        average:,0.000009159,
  mid read          kbest:,0.000003800,
  mid read        average:,0.000004010,
  mid mmap          kbest:,0.000000804,
  mid mmap        average:,0.000000839,
mid munmap          kbest:,0.000006227,
mid munmap        average:,0.000006338,
mid page fault          kbest:,0.000001923,
mid page fault        average:,0.000001957,
 big write          kbest:,0.000968754,
 big write        average:,0.000998256,
  big read          kbest:,0.000550482,
  big read        average:,0.000554972,
  big mmap          kbest:,0.000000836,
  big mmap        average:,0.000000880,
big munmap          kbest:,0.000148874,
big munmap        average:,0.000152627,
big page fault          kbest:,0.000002778,
big page fault        average:,0.000003014,
huge write          kbest:,0.019341180,
huge write        average:,0.019544115,
 huge read          kbest:,0.024032966,
 huge read        average:,0.024165102,
 huge mmap          kbest:,0.000000844,
 huge mmap        average:,0.000000888,
huge munmap          kbest:,0.001717990,
huge munmap        average:,0.001747834,
huge page fault          kbest:,0.000002766,
huge page fault        average:,0.000002977,
    select          kbest:,0.000001413,
    select        average:,0.000001511,
      poll          kbest:,0.000001391,
      poll        average:,0.000001660,
     epoll          kbest:,0.000001577,
     epoll        average:,0.000001720,
select big          kbest:,0.000112574,
select big        average:,0.000131229,
  poll big          kbest:,0.000118711,
  poll big        average:,0.000136912,
 epoll big          kbest:,0.000150702,
 epoll big        average:,0.000181145,
